Photon   |Tot. wo/|
Energy   |Coherent|

1.000E-03|6.036E+02|
1.500E-03|1.792E+02|
2.000E-03|7.429E+01|
3.000E-03|2.098E+01|
4.000E-03|8.452E+00|
5.000E-03|4.176E+00|
6.000E-03|2.363E+00|
8.000E-03|9.983E-01|
1.000E-02|5.491E-01|
1.500E-02|2.512E-01|
2.000E-02|1.897E-01|
3.000E-02|1.615E-01|
4.000E-02|1.534E-01|
5.000E-02|1.485E-01|
6.000E-02|1.444E-01|
8.000E-02|1.372E-01|
1.000E-01|1.310E-01|
1.500E-01|1.182E-01|
2.000E-01|1.085E-01|
3.000E-01|9.442E-02|
4.000E-01|8.460E-02|
5.000E-01|7.731E-02|
6.000E-01|7.150E-02|
8.000E-01|6.283E-02|
1.000E+00|5.650E-02|
1.022E+00|5.590E-02|
1.250E+00|5.053E-02|
1.500E+00|4.597E-02|
2.000E+00|3.937E-02|
2.044E+00|3.891E-02|
3.000E+00|3.138E-02|
4.000E+00|2.663E-02|
5.000E+00|2.347E-02|
6.000E+00|2.121E-02|
7.000E+00|1.951E-02|
8.000E+00|1.819E-02|
9.000E+00|1.714E-02|
1.000E+01|1.627E-02|
1.100E+01|1.556E-02|
1.200E+01|1.495E-02|
1.300E+01|1.443E-02|
1.400E+01|1.399E-02|
1.500E+01|1.361E-02|
1.600E+01|1.327E-02|
1.800E+01|1.271E-02|
2.000E+01|1.227E-02|
2.200E+01|1.191E-02|
2.400E+01|1.161E-02|
2.600E+01|1.137E-02|
2.800E+01|1.117E-02|
3.000E+01|1.100E-02|
4.000E+01|1.045E-02|
5.000E+01|1.018E-02|
6.000E+01|1.004E-02|
8.000E+01|9.942E-03|
1.000E+02|9.940E-03|
1.500E+02|1.006E-02|
2.000E+02|1.021E-02|
3.000E+02|1.046E-02|
4.000E+02|1.064E-02|
5.000E+02|1.078E-02|
6.000E+02|1.089E-02|
8.000E+02|1.104E-02|
1.000E+03|1.115E-02|
1.500E+03|1.132E-02|
2.000E+03|1.142E-02|
3.000E+03|1.153E-02|
4.000E+03|1.159E-02|
5.000E+03|1.163E-02|
6.000E+03|1.167E-02|
8.000E+03|1.170E-02|
1.000E+04|1.173E-02|
1.500E+04|1.176E-02|
2.000E+04|1.179E-02|
3.000E+04|1.180E-02|
4.000E+04|1.182E-02|
5.000E+04|1.182E-02|
6.000E+04|1.183E-02|
8.000E+04|1.184E-02|
1.000E+05|1.184E-02|
