Photon   |Tot. wo/|
Energy   |Coherent|

1.000E-03|6.613E+03|
1.022E-03|6.360E+03|
1.045E-03|6.115E+03|
1.045E-03|6.507E+03|
1.153E-03|5.418E+03|
1.273E-03|4.514E+03|
1.273E-03|4.577E+03|
1.354E-03|4.050E+03|
1.441E-03|3.585E+03|
1.441E-03|3.656E+03|
1.500E-03|3.367E+03|
2.000E-03|1.853E+03|
3.000E-03|7.583E+02|
3.552E-03|5.154E+02|
3.552E-03|1.255E+03|
3.639E-03|1.176E+03|
3.728E-03|1.102E+03|
3.728E-03|1.572E+03|
4.000E-03|1.319E+03|
4.303E-03|1.101E+03|
4.303E-03|1.282E+03|
5.000E-03|8.802E+02|
5.182E-03|8.030E+02|
5.182E-03|8.524E+02|
5.362E-03|7.834E+02|
5.548E-03|7.198E+02|
5.548E-03|7.507E+02|
6.000E-03|6.204E+02|
8.000E-03|3.041E+02|
1.000E-02|1.736E+02|
1.500E-02|6.154E+01|
1.717E-02|4.340E+01|
1.717E-02|1.037E+02|
2.000E-02|6.838E+01|
2.095E-02|6.046E+01|
2.095E-02|8.583E+01|
2.135E-02|8.173E+01|
2.176E-02|7.782E+01|
2.176E-02|8.978E+01|
3.000E-02|3.970E+01|
4.000E-02|1.876E+01|
5.000E-02|1.044E+01|
6.000E-02|6.456E+00|
8.000E-02|3.033E+00|
1.000E-01|1.703E+00|
1.156E-01|1.180E+00|
1.156E-01|4.696E+00|
1.500E-01|2.465E+00|
2.000E-01|1.223E+00|
3.000E-01|4.831E-01|
4.000E-01|2.709E-01|
5.000E-01|1.836E-01|
6.000E-01|1.391E-01|
8.000E-01|9.589E-02|
1.000E+00|7.524E-02|
1.022E+00|7.362E-02|
1.250E+00|6.130E-02|
1.500E+00|5.419E-02|
2.000E+00|4.782E-02|
2.044E+00|4.749E-02|
3.000E+00|4.404E-02|
4.000E+00|4.368E-02|
5.000E+00|4.448E-02|
6.000E+00|4.572E-02|
7.000E+00|4.719E-02|
8.000E+00|4.873E-02|
9.000E+00|5.034E-02|
1.000E+01|5.191E-02|
1.100E+01|5.349E-02|
1.200E+01|5.499E-02|
1.300E+01|5.646E-02|
1.400E+01|5.789E-02|
1.500E+01|5.925E-02|
1.600E+01|6.054E-02|
1.800E+01|6.293E-02|
2.000E+01|6.511E-02|
2.200E+01|6.714E-02|
2.400E+01|6.902E-02|
2.600E+01|7.078E-02|
2.800E+01|7.239E-02|
3.000E+01|7.391E-02|
4.000E+01|8.016E-02|
5.000E+01|8.493E-02|
6.000E+01|8.870E-02|
8.000E+01|9.430E-02|
1.000E+02|9.831E-02|
1.500E+02|1.047E-01|
2.000E+02|1.085E-01|
3.000E+02|1.131E-01|
4.000E+02|1.157E-01|
5.000E+02|1.174E-01|
6.000E+02|1.186E-01|
8.000E+02|1.203E-01|
1.000E+03|1.213E-01|
1.500E+03|1.229E-01|
2.000E+03|1.237E-01|
3.000E+03|1.246E-01|
4.000E+03|1.252E-01|
5.000E+03|1.255E-01|
6.000E+03|1.257E-01|
8.000E+03|1.260E-01|
1.000E+04|1.261E-01|
1.500E+04|1.264E-01|
2.000E+04|1.265E-01|
3.000E+04|1.267E-01|
4.000E+04|1.267E-01|
5.000E+04|1.268E-01|
6.000E+04|1.268E-01|
8.000E+04|1.269E-01|
1.000E+05|1.269E-01|
